iter	Passed	Remaining
780	22373	34921
781	22398	34886
782	22421	34849
783	22445	34813
784	22470	34778
785	22494	34743
786	22520	34710
787	22542	34672
788	22561	34628
789	22581	34587
790	22600	34543
791	22624	34508
792	22647	34470
793	22674	34440
794	22699	34406
795	22721	34367
796	22744	34331
797	22763	34288
798	22784	34248
799	22803	34205
800	22825	34166
801	22852	34136
802	22876	34100
803	22903	34070
804	22931	34041
805	22955	34006
806	22982	33975
807	23006	33940
808	23034	33911
809	23064	33884
810	23094	33858
811	23119	33824
812	23139	33783
813	23159	33743
814	23179	33703
815	23207	33673
816	23230	33636
817	23252	33600
818	23276	33564
819	23301	33530
820	23322	33492
821	23343	33453
822	23365	33415
823	23384	33373
824	23403	33332
825	23423	33291
826	23442	33250
827	23467	33217
828	23489	33180
829	23516	33149
830	23537	33111
831	23562	33078
832	23583	33039
833	23606	33003
834	23626	32964
835	23645	32923
836	23667	32886
837	23691	32851
838	23722	32827
839	23746	32792
840	23779	32770
841	23803	32736
842	23827	32702
843	23845	32660
844	23865	32620
845	23888	32585
846	23916	32557
847	23942	32525
848	23970	32496
849	23996	32465
850	24015	32424
851	24042	32395
852	24070	32366
853	24093	32331
854	24115	32294
855	24136	32257
856	24157	32219
857	24180	32184
858	24206	32152
859	24234	32124
860	24255	32086
861	24280	32054
862	24304	32021
863	24331	31991
864	24354	31956
865	24385	31931
866	24413	31904
867	24441	31875
868	24479	31860
869	24519	31847
870	24547	31818
871	24577	31792
872	24603	31762
873	24630	31732
874	24656	31701
875	24679	31666
876	24712	31644
877	24739	31614
878	24764	31582
879	24785	31545
880	24814	31518
881	24844	31492
882	24868	31458
883	24889	31422
884	24917	31393
885	24940	31358
886	24964	31325
887	24983	31285
888	25008	31253
889	25032	31219
890	25055	31185
891	25076	31148
892	25101	31116
893	25121	31078
894	25141	31040
895	25163	31005
896	25184	30968
897	25203	30928
898	25227	30896
899	25261	30874
900	25279	30834
901	25300	30798
902	25321	30761
903	25343	30726
904	25369	30695
905	25390	30659
906	25413	30625
907	25434	30588
908	25453	30550
909	25478	30518
910	25506	30490
911	25535	30463
912	25558	30430
913	25583	30397
914	25605	30362
915	25629	30330
916	25650	30293
917	25672	30259
918	25697	30227
919	25720	30193
920	25745	30162
921	25769	30129
922	25794	30098
923	25819	30066
924	25844	30035
925	25867	30001
926	25888	29965
927	25909	29930
928	25934	29898
929	25960	29867
930	25988	29840
931	26013	29810
932	26041	29781
933	26067	29752
934	26093	29721
935	26116	29688
936	26144	29659
937	26170	29629
938	26202	29607
939	26229	29578
940	26252	29544
941	26277	29513
942	26301	29481
943	26324	29447
944	26351	29419
945	26381	29393
946	26404	29359
947	26430	29329
948	26454	29297
949	26477	29264
950	26498	29229
951	26520	29194
952	26544	29162
953	26575	29138
954	26602	29109
955	26627	29078
956	26653	29048
957	26677	29017
958	26702	28985
959	26719	28945
960	26745	28915
961	26772	28887
962	26803	28862
963	26828	28831
964	26855	28803
965	26882	28775
966	26911	28748
967	26937	28718
968	26962	28687
969	26980	28649
970	27004	28617
971	27025	28582
972	27053	28555
973	27081	28526
974	27105	28495
975	27133	28467
976	27159	28438
977	27185	28409
978	27212	28380
979	27239	28351
980	27266	28322
981	27296	28297
982	27324	28269
983	27347	28237
984	27376	28210
985	27398	28177
986	27423	28145
987	27451	28118
988	27491	28103
989	27524	28080
990	27549	28049
991	27575	28020
992	27598	27988
993	27624	27958
994	27653	27931
995	27681	27904
996	27714	27881
997	27741	27852
998	27766	27821
999	27794	27794
1000	27815	27760
1001	27841	27730
1002	27868	27701
1003	27896	27674
1004	27924	27646
1005	27959	27625
1006	27992	27603
1007	28023	27578
1008	28051	27551
1009	28079	27523
1010	28108	27496
1011	28139	27472
1012	28163	27440
1013	28186	27407
1014	28207	27373
1015	28227	27338
1016	28247	27303
1017	28267	27267
1018	28287	27232
1019	28306	27196
1020	28331	27166
1021	28362	27141
1022	28395	27118
1023	28424	27092
1024	28449	27061
1025	28488	27044
1026	28515	27016
1027	28543	26988
1028	28570	26959
1029	28593	26928
1030	28615	26894
1031	28641	26864
1032	28693	26860
1033	28731	26841
1034	28763	26817
1035	28796	26795
1036	28863	26803
1037	28897	26781
1038	28931	26759
1039	29002	26771
1040	29039	26751
1041	29068	26724
1042	29102	26702
1043	29134	26678
1044	29160	26649
1045	29194	26626
1046	29233	26608
1047	29266	26586
1048	29295	26558
1049	29325	26532
1050	29361	26511
1051	29403	26496
1052	29429	26467
1053	29458	26440
1054	29491	26416
1055	29523	26392
1056	29554	26366
1057	29582	26339
1058	29620	26320
1059	29661	26303
1060	29694	26279
1061	29737	26265
1062	29777	26247
1063	29820	26233
1064	29860	26215
1065	29896	26194
1066	29931	26172
1067	29962	26146
1068	30011	26137
1069	30039	26109
1070	30072	26085
1071	30103	26059
1072	30133	26033
1073	30163	26006
1074	30188	25976
1075	30222	25953
1076	30252	25926
1077	30284	25901
1078	30314	25875
1079	30344	25849
1080	30373	25821
1081	30410	25801
1082	30451	25783
1083	30484	25760
1084	30515	25734
1085	30545	25707
1086	30571	25677
1087	30599	25649
1088	30626	25620
1089	30651	25589
1090	30682	25563
1091	30713	25538
1092	30744	25512
1093	30774	25485
1094	30809	25463
1095	30837	25434
1096	30862	25404
1097	30891	25377
1098	30923	25351
1099	30961	25332
1100	30997	25310
1101	31023	25280
1102	31046	25248
1103	31075	25220
1104	31100	25189
1105	31126	25159
1106	31151	25129
1107	31174	25097
1108	31190	25059
1109	31212	25026
1110	31235	24994
1111	31255	24959
1112	31278	24926
1113	31300	24893
1114	31322	24861
1115	31348	24831
1116	31374	24802
1117	31400	24771
1118	31425	24741
1119	31446	24707
1120	31468	24675
1121	31494	24645
1122	31520	24615
1123	31554	24592
1124	31585	24566
1125	31615	24540
1126	31641	24510
1127	31664	24477
1128	31688	24446
1129	31709	24413
1130	31731	24381
1131	31754	24349
1132	31780	24319
1133	31807	24290
1134	31833	24260
1135	31859	24231
1136	31884	24200
1137	31904	24166
1138	31931	24137
1139	31953	24105
1140	31979	24075
1141	32001	24043
1142	32027	24013
1143	32053	23983
1144	32078	23953
1145	32106	23925
1146	32128	23893
1147	32152	23861
1148	32173	23829
1149	32193	23795
1150	32218	23764
1151	32244	23735
1152	32269	23705
1153	32291	23672
1154	32314	23641
1155	32338	23610
1156	32361	23579
1157	32385	23547
1158	32417	23522
1159	32443	23493
1160	32470	23464
1161	32494	23433
1162	32518	23402
1163	32539	23370
1164	32559	23336
1165	32583	23305
1166	32609	23276
1167	32631	23244
1168	32652	23211
1169	32677	23181
1170	32700	23150
1171	32730	23123
1172	32756	23094
1173	32783	23065
1174	32809	23036
1175	32833	23005
1176	32860	22977
1177	32887	22948
1178	32914	22920
1179	32941	22891
1180	32964	22860
1181	32999	22837
1182	33025	22807
1183	33051	22778
1184	33077	22749
1185	33103	22720
1186	33130	22691
1187	33155	22661
1188	33181	22632
1189	33206	22602
1190	33232	22573
1191	33253	22540
1192	33275	22508
1193	33298	22477
1194	33323	22448
1195	33352	22420
1196	33380	22392
1197	33414	22369
1198	33446	22344
1199	33469	22313
1200	33496	22284
1201	33523	22255
1202	33548	22226
1203	33573	22196
1204	33599	22167
1205	33623	22136
1206	33649	22107
1207	33672	22076
1208	33696	22046
1209	33720	22015
1210	33743	21984
1211	33765	21953
1212	33788	21922
1213	33811	21891
1214	33838	21862
1215	33865	21834
1216	33893	21806
1217	33917	21776
1218	33941	21745
1219	33969	21718
1220	33993	21687
1221	34020	21659
1222	34054	21635
1223	34077	21604
1224	34100	21573
1225	34122	21542
1226	34149	21513
1227	34172	21483
1228	34195	21452
1229	34218	21421
1230	34240	21389
1231	34267	21361
1232	34293	21332
1233	34318	21303
1234	34341	21272
1235	34365	21242
1236	34389	21211
1237	34414	21182
1238	34442	21154
1239	34468	21126
1240	34493	21096
1241	34515	21065
1242	34540	21035
1243	34560	21003
1244	34583	20972
1245	34604	20940
1246	34626	20908
1247	34650	20879
1248	34678	20851
1249	34699	20819
1250	34721	20788
1251	34746	20759
1252	34770	20729
1253	34792	20697
1254	34816	20668
1255	34837	20636
1256	34862	20606
1257	34886	20576
1258	34910	20547
1259	34933	20516
1260	34959	20487
1261	34980	20456
1262	35003	20425
1263	35026	20395
1264	35053	20366
1265	35079	20338
1266	35106	20310
1267	35134	20282
1268	35158	20253
1269	35182	20223
1270	35205	20192
1271	35230	20163
1272	35258	20136
1273	35283	20106
1274	35306	20076
1275	35329	20046
1276	35355	20017
1277	35389	19992
1278	35416	19964
1279	35444	19937
1280	35470	19908
1281	35498	19881
1282	35533	19858
1283	35559	19829
1284	35592	19804
1285	35620	19776
1286	35643	19746
1287	35668	19717
1288	35699	19691
1289	35725	19662
1290	35749	19633
1291	35774	19603
1292	35802	19576
1293	35825	19546
1294	35851	19517
1295	35875	19488
1296	35898	19457
1297	35925	19429
1298	35951	19400
1299	35976	19371
1300	36002	19343
1301	36024	19312
1302	36049	19283
1303	36071	19253
1304	36097	19224
1305	36121	19194
1306	36147	19166
1307	36174	19138
1308	36199	19109
1309	36225	19080
1310	36248	19050
1311	36274	19021
1312	36299	18992
1313	36321	18962
1314	36346	18933
1315	36372	18904
1316	36398	18876
1317	36425	18848
1318	36449	18818
1319	36472	18788
1320	36495	18758
1321	36516	18728
1322	36540	18698
1323	36563	18668
1324	36586	18638
1325	36614	18610
1326	36639	18581
1327	36664	18553
1328	36686	18522
1329	36710	18493
1330	36737	18465
1331	36761	18436
1332	36787	18407
1333	36818	18381
1334	36847	18354
1335	36877	18328
1336	36901	18299
1337	36927	18270
1338	36947	18239
1339	36972	18210
1340	36998	18181
1341	37024	18153
1342	37046	18123
1343	37070	18093
1344	37097	18066
1345	37123	18037
1346	37146	18007
1347	37171	17979
1348	37194	17949
1349	37218	17919
